Title,Museum,Names,Collection Photographer,Collection Creator,Topic,See more items in,Extent,Date,Container,Archival Repository,Identifier,Type,Collection Citation,Collection Rights,Genre/Form,Scope and Contents,Collection Restrictions,Record ID,Metadata Usage,GUID,Image_URL,Local Numbers,General,Creator,Place,Provenance,Culture,Numbering Peculiarities Note,Local Note,See Also,Bibliography,Names.PER,Names.LOC,Collection Photographer.ORG,Collection Photographer.LOC,Collection Photographer.PER,Collection Creator.PER,Collection Creator.ORG,Collection Creator.LOC,Topic.LOC,Topic.MISC,See more items in.ORG,Container.PER,Archival Repository.ORG,Identifier.ORG,Collection Citation.PER,Collection Citation.LOC,Collection Rights.ORG,Scope and Contents.PER,See more items in.MISC,See more items in.LOC,Identifier.LOC,Collection Citation.MISC,Collection Citation.ORG,Scope and Contents.ORG,Scope and Contents.LOC,Collection Restrictions.ORG,Local Numbers.ORG,Creator.ORG,Place.LOC,Provenance.ORG,Provenance.LOC,Local Numbers.LOC,Creator.PER,Culture.MISC,Topic.PER,See more items in.PER,Scope and Contents.MISC,Local Numbers.MISC,Provenance.PER,Culture.PER,Creator.LOC,General.ORG,See Also.LOC,Bibliography.PER,Bibliography.LOC,Bibliography.ORG,Topic.ORG
Madagascar (Coin de Marché) Marchand de Cordes et de Bambou,National Museum of African Art,,,,"['Marketplaces', 'Men', 'Costume -- Africa', 'Bamboo', 'Rope']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1910'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 2012-001-0391']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar (Part of the Market) - Bamboo and rope merchant.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088176-4'],['CC0'],['https://n2t.net/ark:/65665/xo75b52dc36-570c-41ca-b817-e1887ce9d75d'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-16-04.jpg,['EEPA MG-16-04'],,,"['Africa', 'Madagascar']",,,,['temp 170'],,,,,,,,,,,['Africa'],,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Madagascar'],['Contact Archives'],,,"['Africa', 'Madagascar']",,,,,,,,,,,,,,,,,,
Madagascar - Types Hovas,National Museum of African Art,,,,"['Portrait photography', 'Costume -- Africa', 'Men']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1910'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149004']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Hova Types.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088146-6'],['CC0'],['https://n2t.net/ark:/65665/xo76db7824c-5211-4923-baa7-8ffabea4c5fe'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-07.jpg,['EEPA MG-20-07'],,,"['Africa', 'Madagascar']",,['Merina (Malagasy people)'],,['temp 18'],,,,,,,,,,,['Africa'],,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,,['Contact Archives'],,,"['Africa', 'Madagascar']",,,['##A'],,['Malagasy'],,,,,,,,,,,,,
Congo Français Congo Français et Dépendances- Type Banziri - Rives de l'Oubangui,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Hairstyles -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140125-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - Banziri type - Banks of the Oubangui''. Young man holding a knife in his left hand, wearing bead necklaces and headband. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087805-3'],['CC0'],['https://n2t.net/ark:/65665/xo7576013b1-ce51-42b9-8f65-56121e2f8c69'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140125.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']",,['Banziri (African people)'],,,,,,,,,,,,,"['Africa', 'Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', '. Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Territories', 'Oubangui']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,,,,['African'],,,"['Banziri', 'Congo Français']",,,,,,,,,,
Madagascar - Femme Betsileo se Faisant Coiffer,National Museum of African Art,,,,"['Body arts', 'Hairstyles -- Africa', 'Portrait photography -- Africa', 'Costume -- Africa', 'Body marking -- Africa', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1910'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149066']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Betsileo Woman is styling the hair.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088156-4'],['CC0'],['https://n2t.net/ark:/65665/xo7235150d7-b61e-431a-9305-7fffeda86ca6'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-05-16.jpg,['EEPA MG-05-16'],,,"['Africa', 'Madagascar']",,['Betsileo (Malagasy people)'],,['temp 118'],,,,,,,,,,,"['Africa', 'Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Madagascar'],['Contact Archives'],,,"['Africa', 'Madagascar']",,,['EEPA MG'],,['Malagasy'],,,,,,,,,,,,,
Diégo-Suarez Femmes Sakalaves,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Hairstyles -- Africa', 'Textile fabrics', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1905'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149022']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Diégo-Suarez - Sakalava women.""', 'Additional printed text on recto reads: ""Collection Chatard, Diégo-Suarez - Reproduction interdite et Déposée.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088149-5'],['CC0'],['https://n2t.net/ark:/65665/xo7a76d850f-f612-4cc5-87c1-f1192af0e964'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-26.jpg,['EEPA MG-20-26'],"['Caption source: Postcard caption.', 'Citation source: Archives staff.', 'Title source: Archives staff, not provided by photographer.']",['E. Chatard (Diégo-Suarez)'],"['Africa', 'Madagascar', 'Madagascar, -- Antsiranana province, -- Antsiranana (Diégo-Suarez)']",,['Sakalava (Malagasy people)'],,['temp 41'],"['Madagascar, Antsiranana province, Antsiranana (Diégo-Suarez) (-12.2787, 49.29171)', 'Interactive maps']",,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],['Cha'],"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,,['Contact Archives'],['EEP'],['Diégo - Suarez'],"['Africa', 'Madagascar', 'Madagascar', 'Antsiranana', 'Antsiranana', 'Diégo', 'Suarez']",,,,"['E', '. Chatard']",['Malagasy'],,,['##ava'],,,,,['Archives'],"['Madagascar', 'Antsiranana', 'Antsiranana', 'Diégo', 'Suarez']",,,,
"Madagascar ""Modern Style""",National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Hairstyles -- Africa', 'Textile fabrics', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1906'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149034']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Modern Style."" Postmarked and stamped on recto, ""Tananarive, Madagascar, 31 January [1906?].""', 'Additional printed text on recto reads: ""Collection S. (Déposé).""', 'Original hand-written address on verso, ""Monsieur Cachelot. Ministére des Colonies Bureau Militaire Paris.""', 'Original hand-written text on verso, ""Friendship.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088151-5'],['CC0'],['https://n2t.net/ark:/65665/xo7e97225c7-8b9a-43f0-aa10-d142fe7cae34'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-38.jpg,['EEPA MG-20-38'],,['Collection S.'],"['Africa', 'Madagascar']",,,,['temp 53'],,,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],['Cachelot'],"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",['Ministére des Colonies Bureau Militaire Paris'],"['Tananarive', 'Madagascar']",['Contact Archives'],['EEPA'],,"['Africa', 'Madagascar']",,,,,,,,['Modern Style'],,,,,,,,,,
Madagascar - Group de Sakalavas,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Textile fabrics', 'Hairstyles -- Africa', 'Women', 'Men', 'Girls']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1905'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149044']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Group of Sakalavas.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088153-1'],['CC0'],['https://n2t.net/ark:/65665/xo725ccde60-9c2d-42bf-954f-6ad9ac443ffe'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-52.jpg,['EEPA MG-20-52'],,,"['Africa', 'Madagascar']",,,,['temp 67'],,"['Kreamer, Christine Mullen and Sarah Fee, eds. Objects as Envoys: Cloth, Imagery, and Diplomacy in Madagascar. Washington, DC: Smithsonian Institution. 2002. p. 41, figure 12.']",,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",['Group of Sakalavas'],['Madagascar'],['Contact Archives'],['EEPA'],,"['Africa', 'Madagascar']",,,,,,,,,,,,,,,"['K', 'Christine Mullen', 'Sarah Fee']","['Madagascar', 'Washington,', 'DC']",['Smithsonian Institution'],
Congo Français Congo Français et Dépendances- Type Banziri - Bas-Kouango,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Hairstyles -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140124-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - Banziri type - Lower Kouango''. Young man holding a spear in his right hand, beads necklaces and feathers in his headband. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087805-2'],['CC0'],['https://n2t.net/ark:/65665/xo7b56920ac-6119-4021-ad44-639ad7026fe3'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140124.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']",,['Banziri (African people)'],,,,"['Duplicate postcard published in MacDougall, David, ""The Corporeal Image: Film, Ethnography, and the Senses,"" Princeton: Princeton University Press, 2006, p. 192.']",,,,,,,,,"['Africa', 'Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', '. Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Territories']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,,,,['African'],,,"['Banziri', 'Congo Français']",,,,,,,"['MacDougall', 'David']",['Princeton'],['Princeton University Press'],
Congo Français Congo Français et Dépendances- Femme Banziri civilisée,National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1905]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140109-01']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo and Territories - Banziri civilized woman''. Young woman wearing shirt and blouse. Congo Français. Photograph by J. Audema""]",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087802-1'],['CC0'],['https://n2t.net/ark:/65665/xo7a6db3f9f-3be0-4dde-8993-d971f3ac5e63'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140109.jpg,,"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']","['JCB: Jean Charles Blanc; Paris, France; Purchase']",['Banziri (African people)'],,,,,,,,,,,,,"['Africa', 'Africa']",,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['J', '. Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Territories']",['Contact Archives'],,,"['Africa', 'Congo', 'Brazzaville']",,"['Paris', 'France']",,,['African'],,,['Français'],,['Jean Charles Blanc'],,,,,,,,
Madagascar - Danses Andrabe,National Museum of African Art,,,,"['Dance', 'Costume -- Africa', 'Men', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1903'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 2012-001-0347']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Andrave Dances."" Postmarked and stamped on recto, ""Tamatave, Madagascar, December 1903.""', 'Additional printed text on recto reads: ""Couadou, phot., Toulon-sur-Mer.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088169-1'],['CC0'],['https://n2t.net/ark:/65665/xo75f38f177-c2ba-40b0-b8cb-d52aab548995'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-08-03.jpg,['EEPA MG-08-03'],,['Couadou (photographer)'],"['Africa', 'Madagascar']",,,,['temp 101'],,,,,,,,,,,['Africa'],,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],['Couad'],"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['Tamatave', 'Madagascar', 'To', '##ulon', 'sur - Mer']",['Contact Archives'],,,"['Africa', 'Madagascar']",,,['EEPA MG'],['Couadou'],,,,,,,,,,,,,,
"Congo Français Congo Français - Pahouin, Pahouine Yenvis, Ogooué",National Museum of African Art,,,,"['Portraits', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 12: Congo Français (CF) / Audema']","['1 Postcard (b&w, 14 x 9 cm.)']",['[ca. 1913]'],,"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA 1985-140031-02']","['Archival materials', 'Postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Postcards'],"[""Translated caption reads: ''French Congo. Pahouin male, Pahouine Yenvis female, Ogooué region''. Warrior holding a spear, wearing a necklace. Hair ornaments attached to his nostrils. Right side profile woman with hair ornaments falling on her shoulders and chest and attached to her nostrils. Congo Français. Photograph by J. Audema"", 'Postmarked postage stamp on recto. Manuscript on verso, date reads: ""3/6/13.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871087783-4'],['CC0'],['https://n2t.net/ark:/65665/xo74da20356-76d1-4b7c-9790-689f5a886f56'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-EEPA_1985-140031-02.jpg,['Audema 0241'],"['Title source: Postcard caption.', 'Image indexed by negative number.']",,"['Africa', 'Congo (Brazzaville)']",['I.U.: Indiana University collection; Donation.'],['Fang (West African people)'],,,,,,,,,,,,,['Africa'],,"['CF', 'Audema']",,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],"['Pa', 'Pa', 'Ye', 'J', 'Audema']",['African'],,"['EEPA', 'It', '##em EEPA']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['French Congo', 'Ogooué']",['Contact Archives'],['Audema'],,"['Africa', 'Congo', 'Brazzaville']",['Indiana University'],,,,['West African'],,,['Congo Français'],,,,,,,,,,
Madagascar Caserne de Milice et Miliciens,National Museum of African Art,,,,"['Military -- Africa', 'Portrait photography -- Africa', 'Costume -- Africa', 'Armed Forces', 'Men', 'Barracks']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1905'],['Volume 2 MG'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 2012-001-2078']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Barracks of the Army and Militiamen.""', 'Logo on verso reads: ""Messageries Maritimes.""', 'Items EEPA MG-38-03 and EEPA MG-38-05 are duplicate postcards.']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088200-4'],['CC0'],['https://n2t.net/ark:/65665/xo7c219f502-7051-4f1b-965e-3053f6cbe816'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-38-03.jpg,['EEPA MG-38-03'],,['Messageries Maritimes'],"['Africa', 'Madagascar']",,,,,,,,,,,,,,,"['Africa', 'Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']","['Messageries Maritimes', 'E']",['Madagascar'],['Contact Archives'],,,"['Africa', 'Madagascar']",,,,,,,,,,,,,,,,,,['Armed Forces']
"Madagascar - ""Princesse"" Malgache",National Museum of African Art,,,,"['Portrait photography -- Africa', 'Costume -- Africa', 'Textile fabrics', 'Women']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 14 x 9 cm.)']",['ca. 1905'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 1985-149039']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""Madagascar - Malgasy Princess.""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088152-4'],['CC0'],['https://n2t.net/ark:/65665/xo77cf2594e-827c-483c-b720-c64723b8bf72'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-20-43.jpg,['EEPA MG-20-43'],"['Caption source: Postcard caption.', 'Title source: Archives staff, not provided by photographer.']",,"['Africa', 'Madagascar']",,['Malagasy people'],,['temp 58'],,,,,,,,,,,"['Africa', 'Africa']",,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,['Madagascar'],['Contact Archives'],,,"['Africa', 'Madagascar']",,,,,['Malagasy'],,,,,,,,,,,,,
Colonies Françaises - Madagascar Tananarive - Le Zoma,National Museum of African Art,,,,"['Marketplaces', 'People', 'Costume -- Africa']","['African Postcard Collection', 'African Postcard Collection / Series 26: Madagascar (MG)']","['1 Postcard (collotype., b&w, 9 x 14 cm.)']",['ca. 1910'],['Volume 1'],"['Eliot Elisofon Photographic Archives, National Museum of African Art']","['EEPA.1985-014, Item EEPA MG 2012-001-0390']","['Archival materials', 'Postcards', 'Postcards', 'Picture postcards']","['African Postcard collection, EEPA 1985-014, Eliot Elisofon Photographic Archives, National Museum of African Art, Smithsonian Institution.']",['Permission to reproduce images from the Eliot Elisofon Photographic Archives must be obtained in advance.  The collection is subject to all copyright laws.'],['Picture postcards'],"['Original caption reads, ""French Colonies - Madagascar. Tananarive - The Zoma [Market].""']",['Use of original records requires an appointment.  Contact Archives staff for more details.'],['ebl-1536871081657-1536871088176-3'],['CC0'],['https://n2t.net/ark:/65665/xo7826e25b2-c1f0-4211-9eb1-2918cf39ae5d'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAfA-MG-16-03.jpg,['EEPA MG-16-03'],,,"['Africa', 'Madagascar', 'Madagascar, -- Antananarivo province, -- Antananarivo (Tananarive), -- Analakely Market (Marché de Zoma)']",,,,['temp 169'],"['Madagascar, Antananarivo province, Antananarivo (Tananarive), Analakely Market (Marché de Zoma) (-18.908504, 47.526968)', 'Interactive maps']",,,,,,,,,,['Africa'],,,,"['Eliot Elisofon Photographic Archives', 'National Museum of African Art']",,['Eliot Elisofo'],['E'],['Eliot Elisofon Photographic Archives'],,"['African', 'African Postcard Collection']",['Madagascar'],"['EEPA', 'It', '##em EEPA MG']",['African Postcard'],"['##graphic Archives', 'National Museum of African Art']",,"['Madagascar', 'Tananarive']",['Contact Archives'],,,"['Africa', 'Madagascar', 'Madagascar', 'Antananarivo', 'Antananarivo', 'Tananarive', 'Marché de Zoma']",,,,,,,,,,,,,,"['Madagascar', 'Antananarivo', 'Antananarivo', 'Tananarive', 'Marché de Zoma']",,,,
